George H. W. Bush	George Herbert Walker Bush
George H. W. Bush	Senior Bush
George H. W. Bush	President George H. W. Bush
George H. W. Bush	George H W Bush
George H. W. Bush	George Bush Sr
George H. W. Bush	H.W. Bush
George H. W. Bush	Bush Snr.
George H. W. Bush	President George H.W. Bush
George H. W. Bush	Bush Senior
George H. W. Bush	George Bush Senior
George H. W. Bush	Bush 41
Jay Grdina	John G. Grdina
Jay Grdina	Justin Sterling
John Layfield	John Bradshaw Layfield
Rupert Murdoch	Keith Rupert Murdoch
Henri Nestlé	Henry Nestle
Henri Nestlé	Henry Nestlé
Henri Nestlé	Henri Nestle
Henri Nestlé	Heinrich Nestle
Ernst Werner von Siemens	Werner von Siemens
Kim Dotcom	Kim Schmitz
Kim Dotcom	Kimble
Kim Dotcom	Kim Tim Jim Vestor
Kim Dotcom	Kim Dot Com
Ralph H. Baer	Ralph Henry Baer
Ralph H. Baer	Ralph H. Baer
Boris Becker	Boris Franz Becker
Wilhelm von Opel	Wilhelm Opel
Roman Abramovich	Roman Arkadyevich Abramovich
Ernie Ball	Roland Sherwood Ball
Hashemi Rafsanjani	Akbar Hashemi Rafsanjani
Édouard Michelin	Edouard Michelin
Aaron Russo	Aaron ruso
Momofuku Ando	Wu Baifu
Momofuku Ando	Jesus Dalmau
Euronymous	Øystein Aarseth
Steven F. Udvar-Házy	Udvarházy Ferenc István
Steven F. Udvar-Házy	Steven Ferencz Udvar-Házy
Henry Norris	Sir Henry George Norris
Herb Alpert	Herbert Alpert
Don King	Donald King
Ahmet Ertegün	Ahmet Ertegun
Jan Gotlib Bloch	Ivan Bloch
Harold Geneen	Harold Sydney Geneen
Harold Geneen	Harold Geneen
Harold Geneen	Hal Geneen
Run Run Shaw	Shao Yifu
Dick Morris	Richard S. Morris
Dick Morris	Dick Morris
Chung Ju-yung	Chung Ju-young
Amy Pascal	Amy Beth Pascal
John T. Walton	John Thomas Walton
John T. Walton	John Walton
Brett Gurewitz	Mr. Brett
Henry Royce	Sir Frederick Henry Royce, 1st Baronet of Seaton
Henry Cole	Sir Henry Cole
Lubna Olayan	Lubna Suliman Olayan
Cher Wang	王雪紅
Cher Wang	王雪红
Cher Wang	Wáng Xuěhóng
Tokuji Hayakawa	Hayakawa Tokuji
Jim Walton	James Carr
Jerry Moss	Jerome S. Moss
William Davidson	William Morse Davidson
William Davidson	Bill Davidson
Edward Haughey, Baron Ballyedmond	Edward Enda Haughey, Baron Ballyedmond
Edward Haughey, Baron Ballyedmond	Edward Enda Haughey, Baron Ballyedmond, OBE, HonFRSC, FRCVS
Edward Haughey, Baron Ballyedmond	Eddie Haughey
Edward Haughey, Baron Ballyedmond	Edward Enda Haughey
Frank Gannett	Frank Ernest Gannett
Frank Gannett	Frank E. Gannett
Mar Roxas	"Boy Mura"
Madman Muntz	Earl William Muntz
Madman Muntz	Earl Muntz
Madman Muntz	Earl William "Madman" Muntz
Carl Walther	Carl Wilhelm Freund Walther
Huang Nubo	Luo Ying
Sung Jae-ki	Sung Jae-gi
Sung Jae-ki	Seong Jae-ki
Sung Jae-ki	Seong Jae-gi
Sung Jae-ki	Sung Jai-ki
Sung Jae-ki	成在基
Sung Jae-ki	Seong Jai-ki
Sung Jae-ki	성재기
Sung Jae-ki	심헌 성재기
Sung Jae-ki	푸른늑대
Sung Jae-ki	똥발바쓰
Sung Jae-ki	똥발
Sung Jae-ki	Bluewolf
Sung Jae-ki	Simheon Sung Jae-ki
Sung Jae-ki	Simheon Sung Jae-gi
Sung Jae-ki	審軒
Chua Sock Koong	蔡淑君
Chua Sock Koong	Cài Shūjūn
Dalton Philips	Timothy David Dalton Philips
David Murray	Sir David Edward Murray
David Tyler	David Alan Tyler
Jack Talbert	Thomas Jefferson
Jack Talbert	Jack Daniel Talbert
Leslie Moonves	Les Moonves
Masha Kirilenko	Marina Kirilenko
Masha Kirilenko	Masha Lopatova Kirilenko
Masha Kirilenko	Маша Лопатова Кириленко
Rich Templeton	Richard K. Templeton
William Morrison	William Murdock Morrison
Danny Porush	Daniel Porush
James I. Ausman	James Ivan Ausman
Simon Segars	Simon Anthony Segars
Suzanne Jenniches	F. Suzanne Jenniches
Andrew Witty	Sir Andrew Philip Witty
platform	platforms
platform	computing platform
platform	game platform
dissolved or abolished	defunct date
dissolved or abolished	dissolution date
dissolved or abolished	dissolved on date
dissolved or abolished	wound up on date
dissolved or abolished	date of dissolution
dissolved or abolished	date dissolved
dissolved or abolished	date disbanded
dissolved or abolished	date disestablished
dissolved or abolished	disestablished
dissolved or abolished	abolished
dissolved or abolished	abolishment date
dissolved or abolished	disbanded on
dissolved or abolished	time dissolved
dissolved or abolished	time of dissolution
dissolved or abolished	time abolished
dissolved or abolished	time of abolishment
Arnold Schwarzenegger	Arnold Alois Schwarzenegger
Larry Page	Lawrence Edward Page
Larry Page	Lawrence E Page
Larry Page	Larry E. Page
Larry Page	Lawrence Page
Larry Page	Lawrence E. Page
Larry Page	Larry e page
Bill Gates	William Gates
Bill Gates	William Henry Gates III
Roy Raymond	Roy Larson Raymond
Alfred Nobel	Alfred B. Nobel
Alfred Nobel	Alfred Nobel's
Alfred Nobel	Alfred Bernhard Nobel
Alfred Nobel	Nobel
Paris Hilton	Paris Whitney Hilton
Ginni Rometty	Virginia Marie Rometty
J. P. Morgan	John Pierpont Morgan
Petro Poroshenko	Petro Oleksiyovych Poroshenko
Henry Kissinger	Henry Alfred Kissinger
Henry Kissinger	Heinz Alfred Kissinger
John Munro Longyear	John Munroe Longyear
Sergey Brin	Sergey Mikhaylovich Brin
Moritz Hochschild	Mauricio Hochschild
Taro Aso	Tarō Asō
Robert Owen	Robert Marcus Owen
Steve Ballmer	Steven Anthony Ballmer
Rudy Giuliani	Rudolph Giuliani
Mark Shuttleworth	Mark Richard Shuttleworth
Lulu	Lulu Kennedy-Cairns
Lulu	Marie McDonald McLaughlin Lawrie
Lady Bird Johnson	Lady Bird Taylor Johnson
Miuccia Prada	Maria Bianchi
Florentino Pérez	Florentino Pérez Rodríguez
Florentino Pérez	Florentino Pérez y Rodríguez
John Templeton	John Marks Templeton
John Templeton	Sir John Marks Templeton
Édouard de Rothschild	Edouard Etienne de Rotshchild
Édouard de Rothschild	Édouard de Rothschild
Édouard de Rothschild	Edouard etienne de rothschild
Édouard de Rothschild	Édouard Étienne Alphonse de Rothschild
Imelda Marcos	Imelda
Imelda Marcos	Steel Butterfly
Teresa Heinz Kerry	Teresa Heinz
Al-Waleed bin Talal	Alwaleed Bin Talal
William Armstrong, 1st Baron Armstrong	Baron Armstrong
William Armstrong, 1st Baron Armstrong	William George Armstrong, 1st Baron Armstrong
Alan Sugar	The Lord Sugar
Alan Sugar	Alan Michael Sugar
Alan Sugar	Baron Sugar
Pat Robertson	Marion Gordon Robertson
Nicholas Tse	Xie Tingfeng
Frédéric Kuhlmann	Charles Frédéric Kuhlmann
Frédéric Kuhlmann	Frederic Kuhlmann
Samuel Slater	Father of the American Industrial Revolution
Samuel Slater	Father of the American Factory System
Samuel Slater	Slater the Traitor
Güler Sabancı	Guler Sabanci
Nina Wang	Kung Yu Sum
Marina Berlusconi	Maria Elvira Berlusconi
George Devol	George Charles Devol, Jr.
Michael Scott	Michael "Scotty" Scott
Joi Ito	Joichi Ito
Joi Ito	Jōichi Itō
Tong King-sing	Tang Tingshu
Salem bin Laden	Salem bin Mohammed bin Awad bin Laden
R. A. F. Penrose, Jr.	Richard Alexander Fullerton Penrose, Jr.
Andriy Sadovyi	Andriy Sadovyy
Aras Agalarov	Araz İsgəndər oğlu Ağalarov
Aras Agalarov	Araz Ağalarov
Aras Agalarov	Araz Agalarov
W. Clement Stone	William Clement Stone
Christopher Poole	moot
Yury Chyzh	Yuryi Chyzh
William E. Metzger	William Ernest Metzger
David Walker	David Alan Walker
Risto Siilasmaa	Risto Kalevi Siilasmaa
John Davies	John Emerson Harding Harding-Davies
John Parker	Sir Thomas John Parker
John Singleton	John Desmond Singleton
Frauke Petry	Frauke Marquardt
Travis Kalanick	Travis C. Kalanick
Alexander M. Cutler	Sandy Cutler
Dan Siroker	Dan Joseph Siroker
